Epoch		Train-loss		Val-loss		learningRate
1		2.4115		3.6932		0.00050000
2		1.4975		1.7878		0.00049625
3		1.2841		1.1057		0.00049249
4		1.1880		1.0562		0.00048874
5		1.1477		1.1583		0.00048497
6		1.1104		0.9704		0.00048121
7		1.0792		0.9567		0.00047744
8		1.0100		0.9110		0.00047367
9		1.0539		0.9727		0.00046990
10		1.0823		0.9666		0.00046612
11		0.9593		0.8596		0.00046234
12		0.9228		1.1946		0.00045855
13		0.9043		0.8925		0.00045477
14		0.8956		0.9176		0.00045097
15		0.8627		1.2955		0.00044718
16		0.8528		0.7723		0.00044338
17		0.8297		0.7487		0.00043958
18		0.8287		0.7470		0.00043577
19		0.8060		0.7089		0.00043196
20		0.7984		0.7406		0.00042815
21		0.7856		0.7153		0.00042433
22		0.7469		0.6779		0.00042051
23		0.7266		0.6060		0.00041669
24		0.6812		0.5680		0.00041286
25		0.7233		1.0392		0.00040903
26		0.6977		0.7156		0.00040519
27		0.6517		0.7657		0.00040135
28		0.5983		0.5625		0.00039750
29		0.5529		0.4872		0.00039366
30		0.5872		0.4824		0.00038980
31		0.5314		0.5315		0.00038594
32		0.5082		0.3949		0.00038208
33		0.4977		0.4781		0.00037822
34		0.5094		0.4828		0.00037435
35		0.5259		0.4335		0.00037047
36		0.5308		1.6681		0.00036659
37		0.5102		0.3824		0.00036271
38		0.4495		0.7670		0.00035882
39		0.4349		0.3795		0.00035493
40		0.3949		0.3986		0.00035103
41		0.4017		0.3713		0.00034713
42		0.3751		0.3357		0.00034322
43		0.3696		0.3026		0.00033931
44		0.3484		0.3023		0.00033539
45		0.3285		0.2499		0.00033147
46		0.3212		0.2277		0.00032754
47		0.3008		0.2287		0.00032361
48		0.2946		0.2279		0.00031967
49		0.3065		0.2154		0.00031572
50		0.2781		0.3286		0.00031177
51		0.2722		0.2049		0.00030782
52		0.2521		0.1874		0.00030386
53		0.2437		0.3082		0.00029989
54		0.2228		0.2372		0.00029592
55		0.2288		0.1810		0.00029194
56		0.2249		0.1609		0.00028796
57		0.1964		0.1771		0.00028397
58		0.1960		0.1422		0.00027997
59		0.1781		0.1523		0.00027597
60		0.1769		0.1409		0.00027196
61		0.1719		0.1182		0.00026794
62		0.1494		0.1276		0.00026392
63		0.1490		0.1019		0.00025989
64		0.1507		0.1222		0.00025586
65		0.1386		0.0949		0.00025181
66		0.1391		0.0874		0.00024776
67		0.1372		0.0932		0.00024370
68		0.1668		0.1368		0.00023964
69		0.1702		0.1522		0.00023556
70		0.1653		0.1400		0.00023148
71		0.1484		0.0962		0.00022739
72		0.1263		0.0826		0.00022330
73		0.1240		0.1098		0.00021919
74		0.1199		0.0824		0.00021508
75		0.1160		0.0749		0.00021095
76		0.1041		0.0759		0.00020682
77		0.1040		0.0812		0.00020268
78		0.1072		0.0789		0.00019853
79		0.1070		0.0668		0.00019437
80		0.1054		0.0729		0.00019020
81		0.1079		0.0670		0.00018602
82		0.1001		0.0669		0.00018183
83		0.0964		0.0774		0.00017763
84		0.0921		0.0629		0.00017342
85		0.0884		0.0607		0.00016919
86		0.0840		0.0583		0.00016496
87		0.0856		0.0589		0.00016071
88		0.0879		0.0568		0.00015645
89		0.0819		0.0583		0.00015217
90		0.0806		0.0577		0.00014789
91		0.0785		0.0531		0.00014359
92		0.0793		0.0558		0.00013927
93		0.0773		0.0543		0.00013494
94		0.0759		0.0510		0.00013060
95		0.0717		0.0523		0.00012624
96		0.0760		0.0501		0.00012186
97		0.0754		0.0503		0.00011746
98		0.0691		0.0484		0.00011305
99		0.0701		0.0477		0.00010861
100		0.0700		0.0516		0.00010416
101		0.0731		0.0484		0.00009969
102		0.0687		0.0473		0.00009519
103		0.0672		0.0477		0.00009067
104		0.0652		0.0460		0.00008612
105		0.0676		0.0467		0.00008155
106		0.0680		0.0455		0.00007695
107		0.0649		0.0451		0.00007231
108		0.0688		0.0448		0.00006765
109		0.0640		0.0450		0.00006295
110		0.0650		0.0437		0.00005821
111		0.0644		0.0442		0.00005342
112		0.0648		0.0426		0.00004859
113		0.0613		0.0430		0.00004370
114		0.0610		0.0435		0.00003875
115		0.0611		0.0431		0.00003373
116		0.0613		0.0442		0.00002863
117		0.0621		0.0429		0.00002342
118		0.0618		0.0430		0.00001808
119		0.0601		0.0426		0.00001255
120		0.0618		0.0424		0.00000673
