Epoch		Train-loss		Val-loss		learningRate
1		3.1192		2.7443		0.00050000
2		2.0458		1.6124		0.00049625
3		1.5711		1.4091		0.00049249
4		1.3721		1.1933		0.00048874
5		1.2403		1.1717		0.00048497
6		1.1239		0.9921		0.00048121
7		1.0159		0.9061		0.00047744
8		0.9343		0.8119		0.00047367
9		0.8747		0.8673		0.00046990
10		0.7990		0.6671		0.00046612
11		0.7639		0.8594		0.00046234
12		0.8474		0.8136		0.00045855
13		0.8221		0.7125		0.00045477
14		0.7131		0.6331		0.00045097
15		0.6546		0.5471		0.00044718
16		0.6381		0.5057		0.00044338
17		0.5637		0.5170		0.00043958
18		0.5104		0.4442		0.00043577
19		0.4841		0.4356		0.00043196
20		0.4664		0.3955		0.00042815
21		0.4620		0.4154		0.00042433
22		0.4337		0.3991		0.00042051
23		0.4398		0.4452		0.00041669
24		0.4065		0.3418		0.00041286
25		0.4086		0.3479		0.00040903
26		0.3878		0.3223		0.00040519
27		0.3687		0.3257		0.00040135
28		0.3682		0.3625		0.00039750
29		0.3591		0.3049		0.00039366
30		0.3501		0.3817		0.00038980
31		0.3461		0.3149		0.00038594
32		0.3352		0.2966		0.00038208
33		0.3276		0.2753		0.00037822
34		0.3190		0.2468		0.00037435
35		0.2924		0.2333		0.00037047
36		0.2796		0.2259		0.00036659
37		0.2672		0.2120		0.00036271
38		0.2655		0.2157		0.00035882
39		0.2482		0.2110		0.00035493
40		0.2481		0.2225		0.00035103
41		0.2458		0.2091		0.00034713
42		0.2261		0.1970		0.00034322
43		0.2166		0.1763		0.00033931
44		0.2128		0.1775		0.00033539
45		0.2120		0.1839		0.00033147
46		0.2000		0.1851		0.00032754
47		0.2051		0.1684		0.00032361
48		0.2108		0.1959		0.00031967
49		0.2075		0.1785		0.00031572
50		0.1957		0.1546		0.00031177
51		0.1909		0.1770		0.00030782
52		0.2090		0.2971		0.00030386
53		0.2172		0.1633		0.00029989
54		0.1908		0.1525		0.00029592
55		0.1866		0.1452		0.00029194
56		0.1704		0.1422		0.00028796
57		0.1667		0.1341		0.00028397
58		0.1582		0.1287		0.00027997
59		0.1521		0.1252		0.00027597
60		0.1531		0.1236		0.00027196
61		0.1527		0.1252		0.00026794
62		0.1631		0.1276		0.00026392
63		0.1688		0.1545		0.00025989
64		0.1840		0.1622		0.00025586
65		0.1559		0.1262		0.00025181
66		0.1469		0.1186		0.00024776
67		0.2364		0.7452		0.00024370
68		0.3241		0.3047		0.00023964
69		0.2192		0.2712		0.00023556
70		0.1949		0.1966		0.00023148
71		0.1666		0.1240		0.00022739
72		0.1507		0.1190		0.00022330
73		0.1468		0.1228		0.00021919
74		0.1431		0.1118		0.00021508
75		0.1352		0.1107		0.00021095
76		0.1327		0.1109		0.00020682
77		0.1293		0.1076		0.00020268
78		0.1345		0.1056		0.00019853
79		0.1298		0.1034		0.00019437
80		0.1302		0.1018		0.00019020
81		0.1252		0.1018		0.00018602
82		0.1257		0.0982		0.00018183
83		0.1191		0.0988		0.00017763
84		0.1217		0.0961		0.00017342
85		0.1167		0.0961		0.00016919
86		0.1201		0.0960		0.00016496
87		0.1175		0.1008		0.00016071
88		0.1190		0.0937		0.00015645
89		0.1201		0.0936		0.00015217
90		0.1139		0.0922		0.00014789
91		0.1114		0.0907		0.00014359
92		0.1084		0.0895		0.00013927
93		0.1094		0.0903		0.00013494
94		0.1100		0.0885		0.00013060
95		0.1103		0.0881		0.00012624
96		0.1067		0.0877		0.00012186
97		0.1068		0.0873		0.00011746
98		0.1075		0.0893		0.00011305
99		0.1053		0.0858		0.00010861
100		0.1051		0.0867		0.00010416
101		0.1058		0.0860		0.00009969
102		0.1010		0.0841		0.00009519
103		0.1016		0.0834		0.00009067
104		0.1002		0.0839		0.00008612
105		0.0979		0.0822		0.00008155
106		0.1021		0.0827		0.00007695
107		0.0998		0.0828		0.00007231
108		0.0990		0.0813		0.00006765
109		0.0957		0.0815		0.00006295
110		0.0956		0.0802		0.00005821
111		0.0974		0.0798		0.00005342
112		0.0966		0.0808		0.00004859
113		0.1000		0.0801		0.00004370
114		0.0945		0.0799		0.00003875
115		0.0976		0.0801		0.00003373
116		0.0978		0.0794		0.00002863
117		0.0955		0.0794		0.00002342
118		0.0957		0.0791		0.00001808
119		0.0950		0.0790		0.00001255
120		0.0966		0.0787		0.00000673
