Epoch		Train-loss		Val-loss		learningRate
1		2.1043		2.5307		0.00050000
2		1.4532		1.3901		0.00049099
3		1.2902		1.2969		0.00048196
4		1.2603		1.0955		0.00047292
5		1.1532		1.2130		0.00046385
6		1.1069		1.2713		0.00045477
7		1.1584		1.0062		0.00044566
8		1.0859		1.0823		0.00043653
9		1.0621		0.9447		0.00042739
10		1.0172		1.0185		0.00041822
11		1.0247		0.9323		0.00040903
12		1.0180		0.9498		0.00039981
13		0.9775		0.8515		0.00039057
14		0.9272		0.8704		0.00038131
15		0.9478		0.9174		0.00037202
16		0.9306		0.8164		0.00036271
17		0.9020		0.8787		0.00035337
18		0.8953		0.8164		0.00034400
19		0.8936		1.0158		0.00033460
20		0.8492		0.7726		0.00032518
21		0.8381		0.8137		0.00031572
22		0.8226		0.7187		0.00030624
23		0.8331		0.7100		0.00029671
24		0.8111		0.6850		0.00028716
25		0.8030		0.7311		0.00027757
26		0.7960		0.7219		0.00026794
27		0.7872		0.6604		0.00025828
28		0.7369		0.6972		0.00024857
29		0.7861		0.6726		0.00023882
30		0.7629		0.6798		0.00022903
31		0.7465		0.6304		0.00021919
32		0.6880		0.5962		0.00020930
33		0.6867		0.6543		0.00019936
34		0.7146		0.5789		0.00018937
35		0.7156		0.5542		0.00017931
36		0.6410		0.5625		0.00016919
37		0.6427		0.5178		0.00015901
38		0.5942		0.5161		0.00014875
39		0.6192		0.6042		0.00013841
40		0.6043		0.4715		0.00012798
41		0.5602		0.4558		0.00011746
42		0.5657		0.4349		0.00010684
43		0.5339		0.4448		0.00009609
44		0.5271		0.4211		0.00008521
45		0.5138		0.3915		0.00007417
46		0.5118		0.3913		0.00006295
47		0.5040		0.3893		0.00005149
48		0.5008		0.3774		0.00003975
49		0.5141		0.3700		0.00002759
50		0.4729		0.3653		0.00001479
