Epoch		Train-loss		Val-loss		learningRate
1		2.8209		2.4682		0.00050000
2		2.2003		1.7774		0.00049099
3		1.9444		1.7424		0.00048196
4		1.7110		1.5172		0.00047292
5		1.5818		1.4898		0.00046385
6		1.4769		1.3597		0.00045477
7		1.3826		1.3823		0.00044566
8		1.2994		1.2320		0.00043653
9		1.2271		1.1733		0.00042739
10		1.1788		1.1035		0.00041822
11		1.1264		1.0304		0.00040903
12		1.0804		1.0842		0.00039981
13		1.0450		0.9581		0.00039057
14		0.9975		0.9536		0.00038131
15		1.0154		0.8823		0.00037202
16		0.9255		0.8859		0.00036271
17		0.9055		0.8363		0.00035337
18		0.8466		0.7429		0.00034400
19		0.8039		0.7743		0.00033460
20		0.7917		0.6934		0.00032518
21		0.7603		0.6843		0.00031572
22		0.7590		0.6891		0.00030624
23		0.7305		0.6320		0.00029671
24		0.6948		0.6491		0.00028716
25		0.6859		0.6041		0.00027757
26		0.6642		0.5890		0.00026794
27		0.6294		0.5682		0.00025828
28		0.6203		0.5602		0.00024857
29		0.6078		0.5511		0.00023882
30		0.5956		0.5284		0.00022903
31		0.5878		0.5229		0.00021919
32		0.5743		0.5136		0.00020930
33		0.5740		0.5050		0.00019936
34		0.5666		0.5130		0.00018937
35		0.5448		0.4877		0.00017931
36		0.5325		0.4739		0.00016919
37		0.5326		0.4724		0.00015901
38		0.5224		0.4600		0.00014875
39		0.5033		0.4488		0.00013841
40		0.4980		0.4448		0.00012798
41		0.4941		0.4394		0.00011746
42		0.4951		0.4362		0.00010684
43		0.4794		0.4262		0.00009609
44		0.4771		0.4181		0.00008521
45		0.4677		0.4150		0.00007417
46		0.4608		0.4113		0.00006295
47		0.4638		0.4077		0.00005149
48		0.4559		0.4046		0.00003975
49		0.4543		0.4039		0.00002759
50		0.4524		0.4011		0.00001479
